time,L,M,N
2016-01-22 07:18:44.779564,51.1197621737687,39.32361801639146,7.454387528838288
2016-01-22 07:18:44.809564,51.36040598076206,39.54501945739804,8.05812805731809
2016-01-22 07:18:44.839564,51.05163502782277,39.49222159568675,8.529367365024445
2016-01-22 07:18:44.869564,50.9036819458623,39.47478956449806,8.730656267426289
2016-01-22 07:18:44.899564,50.5591209986405,39.31203632644265,8.803021803601046
2016-01-22 07:18:44.929564,50.41941814445872,39.092134363004355,8.933922596528985
2016-01-22 07:18:44.959564,50.18998921168684,38.913607886913375,8.853411204270543
2016-01-22 07:18:44.989564,50.28092609172479,38.99202246172504,8.574581812368685
2016-01-22 07:18:45.019564,49.991335741442,38.78606803111774,7.927711154860798
2016-01-22 07:18:45.049564,49.89203653169771,39.00466092468846,7.137160160520089
2016-01-22 07:18:45.079564,49.89513449036169,39.151244991233746,6.854901509875827
2016-01-22 07:18:45.109564,49.800804293247154,38.93531748514942,6.673020906401217
2016-01-22 07:18:45.139564,49.776516139374124,38.86368232806425,6.622258255652275
2016-01-22 07:18:45.169564,49.64394726140219,38.57247752475376,6.5593861203980035
2016-01-22 07:18:45.199564,49.82238993009861,38.27054660881201,6.34611699111322
2016-01-22 07:18:45.229564,49.999140722766626,38.03821438385024,6.728314137991024
2016-01-22 07:18:45.259564,49.99317873224982,37.742236824697166,6.714470497266226
2016-01-22 07:18:45.289564,50.00679534909272,37.39318699022508,6.277657797934625
2016-01-22 07:18:45.319564,49.7071522590869,36.91090712251921,5.490625855017523
2016-01-22 07:18:45.349564,49.34557980331835,37.21723457072562,5.589835089671655
2016-01-22 07:18:45.379564,49.07209751636633,37.58273942535769,5.564056168666177
2016-01-22 07:18:45.409564,48.759629323813094,37.69000867922157,5.32959742160376
2016-01-22 07:18:45.439564,48.48390557304534,37.90095557055139,5.165588693058701
2016-01-22 07:18:45.469564,48.48378614756881,37.99964751200799,5.075832498591798
2016-01-22 07:18:45.499564,48.5092953428813,37.98917540637369,5.0914671981654225
2016-01-22 07:18:45.529564,48.27338542298225,38.121581705835446,5.0983539868486725
2016-01-22 07:18:45.559564,48.2547064512123,38.411952751175825,4.999670483870882
2016-01-22 07:18:45.589564,48.2297045678685,38.805006336477554,5.096286278496596
2016-01-22 07:18:45.619564,48.1448284911069,38.9994028074043,4.932775442791754
2016-01-22 07:18:45.649564,47.90829589849102,39.36342662789392,5.039127775868758
2016-01-22 07:18:45.679564,47.880862967361615,39.78021450386397,4.8522719292767915
2016-01-22 07:18:45.709564,47.936425811498445,40.22870595920815,4.824273828984875
2016-01-22 07:18:45.739564,47.99279080414837,40.72121810841735,4.881881603583478
2016-01-22 07:18:45.769564,47.92744216412124,41.729392071020435,5.044436069109556
2016-01-22 07:18:45.799564,47.62045007028679,42.77785846907758,5.443154191040224
2016-01-22 07:18:45.829564,47.17484639435043,43.60234040457505,5.641389879058085
2016-01-22 07:18:45.859564,47.052495945699064,44.762008903425006,5.777658775569297
2016-01-22 07:18:45.889564,46.58431486696335,45.60692878967375,5.9146111217228
2016-01-22 07:18:45.919564,46.269247980522806,46.14439066583811,6.0106283964625336
2016-01-22 07:18:45.949564,45.93568687855815,46.734225221534096,6.356073630553454
2016-01-22 07:18:45.979564,45.44606624833315,47.2132857321825,6.739074469826124
2016-01-22 07:18:46.009564,44.60243311161423,47.26148121015676,6.828365150572537
2016-01-22 07:18:46.039564,44.16854002286945,47.17152818497097,7.108145690251435
2016-01-22 07:18:46.069564,43.52447841464472,46.77303745721247,6.998269912973933
2016-01-22 07:18:46.099564,43.07926798847492,46.393411968333815,6.856701817883738
2016-01-22 07:18:46.129564,43.03386892863506,46.26622724446059,6.797970263782411
2016-01-22 07:18:46.159564,42.655671350380125,45.894895348761644,6.615072474175747
2016-01-22 07:18:46.189564,42.599038442383154,45.698609525979535,6.356628575347481
2016-01-22 07:18:46.219564,42.491429931321264,45.41892341485856,6.288451233449694
2016-01-22 07:18:46.249564,42.666361998487105,45.04817139081905,6.064714640888018
2016-01-22 07:18:46.279564,42.82047266119867,44.85243453163647,5.89852066785014
2016-01-22 07:18:46.309564,43.13486151053346,44.51984388256106,5.5448084761910605
2016-01-22 07:18:46.339564,43.51911718045842,44.2951519135864,5.194345623214572
2016-01-22 07:18:46.369564,43.86248247930097,43.89233318914208,5.141596926961342
2016-01-22 07:18:46.399564,44.18010322087568,43.58770474845975,5.004330015632515
2016-01-22 07:18:46.429564,44.71354059977142,43.2217602783688,4.815367065774831
2016-01-22 07:18:46.459564,45.16424920339187,42.94235555786144,4.6421342467893
2016-01-22 07:18:46.489564,45.30729159217966,42.51439724273405,4.617062084356829
2016-01-22 07:18:46.519564,45.603912657253964,41.68955212264603,4.5619504129155475
2016-01-22 07:18:46.549564,45.852949759152864,41.08251599791497,4.3657939888747475
2016-01-22 07:18:46.579564,46.226623276000936,40.37412341425025,4.357448157024549
2016-01-22 07:18:46.609564,46.5933008869366,39.72396024329127,4.073843661555491
2016-01-22 07:18:46.639564,47.09995435991074,39.107005337247585,4.152935141315513
2016-01-22 07:18:46.669564,47.17767077829551,38.555241552608884,4.00580250813302
2016-01-22 07:18:46.699564,47.51049478009262,38.345504424727345,4.042872969798264
2016-01-22 07:18:46.729564,48.081248842395816,38.2481356342685,3.769983087222321
2016-01-22 07:18:46.759564,48.521690014710686,38.14493156163969,3.6691883902230145
2016-01-22 07:18:46.789564,48.8254176400723,38.31286133659403,3.720260486743542
2016-01-22 07:18:46.819564,48.25728771880779,38.397424080924445,3.7511621697079796
2016-01-22 07:18:46.849564,48.09757154505622,38.267562010332085,3.7561605339849944
2016-01-22 07:18:46.879564,48.13214179208921,38.0629158690507,3.470173697104427
2016-01-22 07:18:46.909564,48.12889001556597,37.75649213283917,3.215605906863618
2016-01-22 07:18:46.939564,48.00597920980198,37.16464414708473,3.4452714589140045
2016-01-22 07:18:46.969564,48.33618705086161,36.68220419964037,3.2922335434371486
2016-01-22 07:18:46.999564,48.92544069783226,36.290380667910135,2.8564371286248385
2016-01-22 07:18:47.029564,49.55698475069089,35.763683341424915,2.1439660027725638
2016-01-22 07:18:47.059564,50.263355439342675,35.51940485193657,1.770321948894659
2016-01-22 07:18:47.089564,50.35215346531389,35.117419328079954,2.0136925936274155
2016-01-22 07:18:47.119564,50.47038371116677,34.52584559908843,1.824107530979152
2016-01-22 07:18:47.149564,50.56977806315203,33.35180813966289,1.2944166026700787
2016-01-22 07:18:47.179564,50.936165238715745,33.16334801340976,1.0811855864473499
